build_failed,NC,src_churn,test_churn,ConfigF,FilesA,FilesD,FilesM,srcF,docF,otherF,NUC,elapsed_days,same_committer,proj_fail_rate_history,proj_fail_rate_recent,comm_fail_rate_history,comm_fail_rate_recent,NDEV,prev_build_result,day_week,classif_build,TFC,BMsg,maintC,fixC,buildF,mergeC,NS,ND,EXP,entropy,Assertion Roulette,Conditional Test Logic,Constructor Initialization,CyclomaticComplexity,DataClass,DeadCode,Duplicate Assert,DuplicatedCode,Eager Test,EmptyTest,Exception Catching Throwing,ExcessiveParameterList,General Fixture,GodClass,IgnoredTest,Lazy Test,LooseCoupling,Magic Number Test,Mystery Guest,NPathComplexity,Print Statement,Redundant Assertion,Resource Optimism,Sensitive Equality,Sleepy Test,TooManyFields,TooManyMethods,Unknown Test
0,1,0,0,0,0,0,1,0,0,1,1,1,0,0.219629375,0.000686342,0.144927536,0.2,1,1,4,7,1,4.909249136,0,0,0,0,1,1,138,0,24,24,25,66,76,67,24,20,9,0,24,26,21,21,7,9,0,24,0,28,0,0,0,24,24,19,22,24
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.219478738,0.000685871,0,0,1,0,4,1,0,4.695129246,0,0,0,1,0,0,5,0,25,24,23,66,76,67,22,20,9,0,24,26,20,21,22,9,0,22,0,28,0,0,0,24,13,19,22,22
0,1,0,0,0,0,0,7,0,0,7,4,0,0,0.219328307,0.000685401,0.189814815,0,1,0,4,2,2,5.554720177,0,1,0,0,1,3,216,2.2364583,25,24,23,66,76,67,24,20,5,0,24,26,24,21,12,9,0,25,0,28,0,0,0,21,24,19,22,22
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.219178082,0.000684932,0.188940092,0,1,0,4,2,0,4.371577649,0,1,0,1,0,0,217,0,25,25,23,66,76,67,25,20,7,0,25,26,24,21,6,8,0,24,0,28,0,0,0,22,25,19,22,22
1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.219028063,0.000684463,0.188073394,0,1,0,4,2,0,4.268195709,0,1,0,1,0,0,218,0,25,25,24,66,76,67,23,20,9,0,25,26,24,21,23,9,0,23,0,28,0,0,0,25,17,19,22,23
0,1,0,0,0,0,0,1,0,0,1,1,0,0,0.219562244,0.000683995,0.143884892,0.2,1,1,4,1,1,7.206978968,0,0,0,0,1,1,139,0,25,25,24,66,76,67,25,20,5,0,25,26,24,21,2,5,0,22,0,28,0,0,0,15,25,19,22,18
1,1,0,0,0,0,0,1,0,0,1,1,0,1,0.219412167,0.000683527,0.142857143,0.2,1,0,4,1,1,7.104287637,0,0,0,0,1,1,140,0,25,22,24,66,76,67,25,20,7,0,24,26,21,21,18,7,0,23,0,28,0,0,0,20,22,19,22,20
0,1,0,0,0,0,0,6,0,0,6,6,0,0,0.219945355,0.00068306,0.191780822,0,1,1,4,2,1,4.865844576,0,1,0,0,1,3,219,2.2723203,24,24,25,66,76,67,22,20,8,0,24,26,14,21,10,8,0,22,0,28,0,0,0,19,24,19,22,13
0,1,0,0,0,0,0,1,0,0,1,1,0,1,0.219795222,0.000682594,0.190909091,0,1,0,4,7,1,6.603584312,1,0,0,0,1,1,220,0,25,25,23,66,76,67,25,20,8,0,25,26,6,21,18,8,0,23,0,28,0,0,0,15,25,19,22,18
1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.219645293,0.000682128,0.190045249,0,1,0,4,2,0,4.266495521,0,1,0,1,0,0,221,0,24,22,25,66,76,67,24,20,8,0,24,26,24,21,12,8,0,24,0,28,0,0,0,14,15,19,22,23
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.220177232,0.000681663,0.193693694,0,1,1,4,2,0,4.192583857,0,1,0,1,0,0,222,0,25,24,22,66,76,67,25,20,9,0,24,26,14,21,25,9,0,25,0,28,0,0,0,16,24,19,22,25
1,1,0,0,0,1,0,5,0,0,6,2,0,0,0.220027248,0.000681199,0.14893617,0.2,1,0,5,7,3,7.315864853,0,0,0,0,1,3,141,1.8092511,25,22,24,66,76,67,22,20,5,0,22,26,24,21,5,9,0,25,0,28,0,0,0,8,22,19,22,8
1,1,0,0,0,0,0,2,0,0,2,1,0,0,0.220408163,0.000680272,0.154929577,0.2,1,0,5,7,2,6.018448531,0,0,0,0,1,1,142,0.87398106,24,19,25,66,76,67,24,20,7,0,22,26,24,21,16,7,0,24,0,28,0,0,0,19,15,19,22,18
0,1,0,0,0,1,0,6,0,0,7,4,0,1,0.220938137,0.00067981,0.160839161,0.2,1,1,5,1,3,5.585978904,0,0,0,0,1,4,143,1.2246215,25,20,23,66,76,67,24,20,6,0,24,26,24,21,13,9,0,25,0,28,0,0,0,12,20,19,22,13
0,1,0,0,0,1,1,4,0,0,6,2,0,0,0.221166893,0.000678426,0.159722222,0.2,1,1,5,1,1,7.287113829,0,0,0,0,1,2,144,2.0877242,25,20,24,66,76,67,24,20,9,0,25,26,19,21,16,9,0,25,0,28,0,0,0,18,20,19,22,18
